id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1283674,167512,1003,5.88,1,46,,,,,
1283679,167512,1093,1059,1,46,,,,,
1283681,167512,1257,4.412,1,46,,,,,
1283682,167512,1258,2.941,1,46,,,,,
1283683,167512,1004,13.24,1,46,,,,,
1283685,167512,1008,307,0,49,,,,,
1283688,167513,1003,4.34,1,47,,,,,
1283693,167513,1093,780,1,47,,,,,
1283698,167513,1257,4.29,1,47,,,,,
1283699,167513,1258,3.25,1,47,,,,,
1283700,167513,1004,11.27,1,47,,,,,
1283702,167513,1008,330,1,47,,,,,
1283707,167514,1093,2182,0,44,,,,,
1283708,167514,1004,3.7,1,1,,,,,
1283710,167514,1008,377,0,49,,,,,
1283712,167514,1003,6.1,1,1,,,,,
1283719,167515,1093,345,1,47,,,,,
1283723,167515,1257,0.082,1,47,,,,,
1283724,167515,1258,0.308,0,49,,,,,
1283725,167515,1003,8,1,47,,,,,
1283733,167515,1004,1.8,1,47,,,,,
1283735,167515,1008,232,1,49,,,,,
1283736,167516,1258,1.898,0,49,,,,,
1283760,167516,1003,6.58,2,1,6.44,6.72,,,
1283772,167516,1093,621,2,1,555,687,,,
1283794,167516,1253,15,2,1,7,24,,,
1283819,167516,1008,273,0,49,,,,,
1283841,167516,1004,9.22,2,1,8.71,9.73,,,
1283853,167517,1093,710,6,1,589,824,,,
1283859,167517,1258,2.275,0,49,,,,,
1283878,167517,1004,9.49,6,1,9.27,9.63,,,
1283880,167517,1008,309,0,49,,,,,
1283913,167517,1253,13,3,1,6,26,,,
1283948,167517,1003,7.42,6,1,7.07,7.74,,,
1283961,167518,1003,6.92,2,1,6.85,7,,,
1283972,167518,1093,663,2,1,581,745,,,
1283989,167518,1253,16,2,1,7,25,,,
1283990,167518,1258,2.057,0,49,,,,,
1284000,167518,1004,9.4,2,1,9.23,9.57,,,
1284002,167518,1008,289,0,49,,,,,
1284052,167519,1004,9.91,2,1,9.58,10.23,,,
1284054,167519,1008,298,0,49,,,,,
1284080,167519,1003,6.71,2,1,6.34,7.08,,,
1284091,167519,1093,682,2,1,649,714,,,
1284104,167519,1253,16,2,1,7,24,,,
1284105,167519,1258,1.58,0,49,,,,,
1284110,167520,1008,501,0,49,,,,,
1284122,167520,1258,4.999,0,49,,,,,
1284135,167520,1004,24.83,3,1,21.78,27.28,,,
1284163,167520,1003,5.1,3,1,4.75,5.38,,,
1284188,167520,1093,471,0,44,,,,,
1284220,167521,1004,22.42,3,1,21.14,23.85,,,
1284222,167521,1008,484,0,49,,,,,
1284257,167521,1003,6.08,3,1,5.69,6.81,,,
1284284,167521,1093,503,3,1,450,600,,,
1284292,167521,1258,4.725,0,49,,,,,
1284303,167522,1003,2.17,3,1,1.44,2.75,,,
1284314,167522,1093,200,3,1,170,260,,,
1284348,167522,1258,2.313,0,49,,,,,
1284361,167522,1004,11.5,3,1,10.72,12.08,,,
1284363,167522,1008,290,0,49,,,,,
1284417,167523,1004,28.74,3,1,24.12,36.2,,,
1284419,167523,1008,468,0,49,,,,,
1284465,167523,1258,8.129,0,49,,,,,
1284476,167523,1003,5.52,3,1,5.06,6.06,,,
1284484,167523,1093,353,3,1,290,399,,,
1284546,167524,1008,297,0,49,,,,,
1284558,167524,1093,529,0,47,,,,,
1284563,167524,1003,5.8,0,47,,,,,
1284574,167524,1253,21,0,47,,,,,
1284575,167524,1257,0.2,0,47,,,,,
1284576,167524,1258,3.567,0,49,,,,,
1284580,167524,1004,10.1,0,47,,,,,
1284607,167525,1093,657,3,1,570,710,,,
1284612,167525,1257,0.163,0,49,,,,,
1284613,167525,1258,7.011,0,49,,,,,
1284625,167525,1003,6.15,3,1,4.31,7.12,,,
1284628,167525,1004,23.38,3,1,19.74,26.35,,,
1284630,167525,1008,474,2,44,450,497,,,
1284701,167526,1004,17.12,1,1,,,,,
1284707,167526,1093,510,1,1,,,,,
1284710,167526,1003,7.12,1,1,,,,,
1284715,167526,1257,2.027,0,49,,,,,
1284716,167526,1258,4.612,0,49,,,,,
1284769,167526,1253,59,0,39,,,,,
1284771,167526,1008,374,0,49,,,,,
1284789,167527,1003,7.06,1,1,,,,,
1284799,167527,1093,390,1,1,,,,,
1284808,167527,1257,0.16,0,49,,,,,
1284809,167527,1258,3.042,0,49,,,,,
1284858,167527,1004,17.45,1,1,,,,,
1284860,167527,1008,390,0,49,,,,,
1284896,167528,1004,18.5,3,1,17.31,20.21,,,
1284898,167528,1008,379,0,49,,,,,
1284943,167528,1003,5.48,3,1,4.69,6.37,,,
1284954,167528,1093,231,3,1,144,287,,,
1284968,167528,1253,10,3,1,0,26,,,
1284969,167528,1257,2.853,0,49,,,,,
1284970,167528,1258,5.535,0,49,,,,,
1284993,167529,1003,14.25,1,1,,,,,
1285004,167529,1093,665,1,1,,,,,
1285007,167529,1257,0.063,0,49,,,,,
1285008,167529,1258,6.323,0,49,,,,,
1285031,167529,1004,13.35,1,1,,,,,
1285033,167529,1008,433,0,44,,,,,
1285068,167530,1004,20.37,6,1,19.06,21.87,,,
1285070,167530,1008,484,0,44,,,,,
1285116,167530,1003,7.01,6,1,6.81,7.19,,,
1285127,167530,1093,1148,6,1,1050,1270,,,
1285140,167530,1257,3.969,0,49,,,,,
1285141,167530,1258,5.362,0,49,,,,,
1285164,167531,1003,7.19,2,1,7.12,7.25,,,
1285174,167531,1093,752,2,1,737,766,,,
1285186,167531,1004,19.5,2,1,18.4,20.61,,,
1285214,167531,1257,2.905,0,49,,,,,
1285215,167531,1258,2.634,0,49,,,,,
1285220,167531,1008,464,0,49,,,,,
1285240,167532,1004,2.15,2,1,2.1,2.2,,,
1285242,167532,1008,238,0,49,,,,,
1285291,167532,1003,10.66,2,1,10.31,11,,,
1285303,167532,1093,478,2,1,446,509,,,
1285323,167532,1257,0.031,0,49,,,,,
1285324,167532,1258,0.63,0,49,,,,,
1285347,167533,1003,10.2,1,44,,,,,
1285355,167533,1093,439,1,44,,,,,
1285392,167533,1004,1.53,1,44,,,,,
1285394,167533,1008,250,0,49,,,,,
1285434,167534,1003,4.41,1,44,,,,,
1285442,167534,1093,265,1,44,,,,,
1285461,167534,1253,66,1,44,,,,,
1285463,167534,1258,7.055,1,44,,,,,
1285479,167534,1004,18.52,1,44,,,,,
