"fdc_id","data_type","description","food_category_id","publication_date"
"167512","sr_legacy_food","Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","18","2019-04-01"
"167513","sr_legacy_food","Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","18","2019-04-01"
"167514","sr_legacy_food","Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","18","2019-04-01"
"167515","sr_legacy_food","George Weston Bakeries, Thomas English Muffins","18","2019-04-01"
"167516","sr_legacy_food","Waffles, buttermilk, frozen, ready-to-heat","18","2019-04-01"
"167517","sr_legacy_food","Waffle, buttermilk, frozen, ready-to-heat, toasted","18","2019-04-01"
"167518","sr_legacy_food","Waffle, buttermilk, frozen, ready-to-heat, microwaved","18","2019-04-01"
"167519","sr_legacy_food","Waffle, plain, frozen, ready-to-heat, microwave","18","2019-04-01"
"167520","sr_legacy_food","Pie Crust, Cookie-type, Graham Cracker, Ready Crust","18","2019-04-01"
"167521","sr_legacy_food","Pie Crust, Cookie-type, Chocolate, Ready Crust","18","2019-04-01"
"167522","sr_legacy_food","Pie, Dutch Apple, Commercially Prepared","18","2019-04-01"
"167523","sr_legacy_food","Pie crust, deep dish, frozen, unbaked, made with enriched flour","18","2019-04-01"
"167524","sr_legacy_food","Waffles, chocolate chip, frozen, ready-to-heat","18","2019-04-01"
"167525","sr_legacy_food","Tostada shells, corn","18","2019-04-01"
"167526","sr_legacy_food","Bread, salvadoran sweet cheese (quesadilla salvadorena)","18","2019-04-01"
"167527","sr_legacy_food","Bread, pound cake type, pan de torta salvadoran","18","2019-04-01"
"167528","sr_legacy_food","Pastry, Pastelitos de Guava (guava pastries)","18","2019-04-01"
"167529","sr_legacy_food","Crackers, snack, Goya Crackers","18","2019-04-01"
"167530","sr_legacy_food","Crackers, cream, Gamesa Sabrosas","18","2019-04-01"
"167531","sr_legacy_food","Crackers, cream, La Moderna Rikis Cream Crackers","18","2019-04-01"
"167532","sr_legacy_food","Bread, white wheat","18","2019-04-01"
"167533","sr_legacy_food","Bagels, wheat","18","2019-04-01"
"167534","sr_legacy_food","Cream puff, eclair, custard or cream filled, iced","18","2019-04-01"
"167535","sr_legacy_food","Tortillas, ready-to-bake or -fry, flour, shelf stable","18","2019-04-01"
"167536","sr_legacy_food","Snacks, beef jerky, chopped and formed","23","2019-04-01"
"167537","sr_legacy_food","Snacks, corn-based, extruded, chips, plain","23","2019-04-01"
"167538","sr_legacy_food","Snacks, corn-based, extruded, chips, barbecue-flavor","23","2019-04-01"
"167539","sr_legacy_food","Snacks, corn-based, extruded, cones, plain","23","2019-04-01"
"167540","sr_legacy_food","Snacks, fruit leather, pieces","19","2019-04-01"
"167541","sr_legacy_food","Snacks, fruit leather, rolls","19","2019-04-01"
"167542","sr_legacy_food","Snacks, granola bars, hard, plain","23","2019-04-01"
"167543","sr_legacy_food","Snacks, granola bars, hard, almond","23","2019-04-01"
"167544","sr_legacy_food","Snacks, granola bars, soft, uncoated, raisin","23","2019-04-01"
"167545","sr_legacy_food","Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","23","2019-04-01"
"167546","sr_legacy_food","Candies, honey-combed, with peanut butter","19","2019-04-01"
"167547","sr_legacy_food","Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","23","2019-04-01"
"167548","sr_legacy_food","Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","23","2019-04-01"
"167549","sr_legacy_food","Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","23","2019-04-01"
"167550","sr_legacy_food","Snacks, popcorn, cakes","23","2019-04-01"
"167551","sr_legacy_food","Snacks, popcorn, caramel-coated, with peanuts","23","2019-04-01"
"167552","sr_legacy_food","Snacks, popcorn, caramel-coated, without peanuts","23","2019-04-01"
"167553","sr_legacy_food","Snacks, potato chips, made from dried potatoes, reduced fat","23","2019-04-01"
"167554","sr_legacy_food","Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor","23","2019-04-01"
"167555","sr_legacy_food","Snacks, pretzels, hard, plain, salted","23","2019-04-01"
"167556","sr_legacy_food","Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","23","2019-04-01"
"167557","sr_legacy_food","Snacks, rice cakes, brown rice, sesame seed","23","2019-04-01"
"167558","sr_legacy_food","Snacks, tortilla chips, plain, white corn, salted","23","2019-04-01"
"167559","sr_legacy_food","Snacks, tortilla chips, nacho cheese","23","2019-04-01"
"167560","sr_legacy_food","Snacks, tortilla chips, ranch-flavor","23","2019-04-01"
"167561","sr_legacy_food","Snacks, trail mix, regular","23","2019-04-01"
"167562","sr_legacy_food","Candies, ALMOND JOY Candy Bar","19","2019-04-01"
"167563","sr_legacy_food","Candies, TWIZZLERS CHERRY BITES","19","2019-04-01"
"167564","sr_legacy_food","Candies, NESTLE, BIT-O'-HONEY Candy Chews","19","2019-04-01"
"167565","sr_legacy_food","Candies, NESTLE, BUTTERFINGER Bar","19","2019-04-01"
"167566","sr_legacy_food","Candies, caramels, chocolate-flavor roll","19","2019-04-01"
"167567","sr_legacy_food","Baking chocolate, unsweetened, liquid","19","2019-04-01"
"167568","sr_legacy_food","Baking chocolate, unsweetened, squares","19","2019-04-01"
"167569","sr_legacy_food","Candies, confectioner's coating, yogurt","19","2019-04-01"
"167570","sr_legacy_food","Candies, confectioner's coating, peanut butter","19","2019-04-01"
"167571","sr_legacy_food","Candies, white chocolate","19","2019-04-01"
"167572","sr_legacy_food","Ice creams, vanilla, light","19","2019-04-01"
"167573","sr_legacy_food","Ice creams, vanilla, rich","19","2019-04-01"
"167574","sr_legacy_food","Desserts, flan, caramel custard, prepared-from-recipe","19","2019-04-01"
"167575","sr_legacy_food","Ice creams, vanilla","19","2019-04-01"
